公司名,工作名,薪资,学历要求,工作经验,是否全职,公司类型,公司规模,任职要求
上海适坦迪教育科技有限公司,Java/C++/Python/Operating system讲师,20K-30K,本科,1-3年,兼职/临时,民营,20-99人,【岗位职责】  1、线上教学：通过线上教学平台给学生进行相关课程授课以及后续的学员答疑辅导；  2、根据学生需要，完成编程任务；  【任职资格】  1、本科及以上学历，计算机相关专业，3年以上相关工作经验。英语佳者优先。   2、语言表达流畅，具备较强的学习能力和创新能力；   3、热爱教师职业，责任心强，知识丰富，对工作充满热情；  4、良好的道德修养，认同中公教育企业文化；   5、精力充沛，接受出差授课任务；
上海信昊信息科技有限公司,Python开发工程师,6K-12K,本科,1-3年,全职,民营,20-99人,职位描述：1、参与产品需求的沟通、讨论和协调；2、负责后端接口开发。职位要求：1.本科以上学历，计算机软件开发等相关专业；2.熟悉 djangoweb服务器开发框架；3.一年及以上python开发经验；4.熟悉mysql/mongo等数据库技术；5.有蓝鲸的二次开发经验优先。6.有良好的逻辑分析能力和学习能力。
天津佰特曼科技发展有限公司,Python高级开发工程师,20K-30K,本科,3-5年,全职,民营,20人以下,职位信息 ：1. 负责机器人流程自动化RPA产品的Python脚本开发工作；2. 负责机器人流程自动化RPA产品的流程实施及配置工作；3. 负责支持现场配置实施人员完成流程的设计及配置；4. 负责对研发项目制定单元测试、压力测试方案并执行；5.完成上级领导交给的其他工作任务。岗位任职资格：1. 熟练掌握Python语言 ；2.三年以上开发经验，具有设计，性能优化经验，良好的编码规范 ；3.至少熟悉Python主流框架Django、Tornado、Flask中的一种；4.熟练使用mysql，熟悉mysql的各种存储引擎，熟悉索引工作原理；5.能够适应短期出差的工作安排。
钱咖网络科技(上海)有限公司,Python开发工程师,10K-18K,大专,3-5年,全职,民营,100-499人," 岗位职责： * 根据需求，进行后端API的设计和开发 * 对已有系统进行维护 * 完成Test Case编写，保证代码质量 * 监控系统性能，对性能进行优化 ；  任职要求： * 至少具有三年以上Python网站开发经验 * 至少熟悉一种Python框架 * 熟悉MySQL数据库设计和查询优化, 会ORM框架sqlalchemy更好 * 熟悉基于Rabbitmq的开发 * 熟悉ElasticSearch索引的创建和查询"
苏州市软件评测中心有限公司上海分公司,python开发,10K-15K,本科,1-3年,全职,国企,500-999人,岗位职责：在测试开发主管领导下，负责轨道交通信号控制的测试软件开发，包括轨旁、车载安全测试平台，安全通信仿真模块等的开发。1、负责参与工具开发需求分析、需求设计 2、了解常用的操作系统平台，如Windows、VxWorks，能够基于这些平台搭建测试环境 3、独立负责测试平台的代码编写 4、进行测试平台的维护工作。岗位要求：1、 本科及以上学历，计算机、通信、电子、自动化、信号或相关专业；2、 有一年以上具体的项目实施经验。3、 精通python，熟悉C语言，有实际的python开发实践经验，python\C\C++开发实践经验丰富者优先；4、 具有责任心，严谨认真，不放过任何问题。5、 具有较强的学习能力，能够在一定的指导下，尽快熟悉岗位工作任务，完成交给的工作
中讯志远(武汉)科技有限公司,Python,10K-15K,本科,3-5年,全职,民营,100-499人, 岗位职责： 1. 负责基于python的web快速开发、相关优化以及产品部署 ；  2、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题；  3、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作；  4、研究并跟踪IT前沿技术。 岗位要求： 1、精通 python 语言开发，有3到5年以上后台开发经验；  2、熟悉web开发框架（django/tornado/flask），熟悉Linux操作系统及shell编程，熟悉BootStrap，熟练使用HTML，CSS，JavaScript等基本前端技术；  3、熟悉mysql，redis，mongo等常用数据库，具有数据库开发和设计能力；  4、了解异步框架、集群与负载均衡，消息中间件，容灾备份等技术； 
河南丰玖软件科技有限公司,Python高级开发工程师,20K-30K,本科,5-10年,全职,民营,100-499人,主要职责： 1. 负责机器人流程自动化RPA产品的Python脚本开发工作；   2. 负责机器人流程自动化RPA产品的流程实施及配置工作；     3. 负责支持现场配置实施人员完成流程的设计及配置；    4. 负责对研发项目制定单元测试、压力测试方案并执行；     5.完成上级领导交给的其他工作任务。    职位要求： 1、必须统招本科以上学历，35岁以下； 2、熟练掌握Python语言 ； 3、五年以上开发经验，具有设计，性能优化经验，良好的编码规范（开发经验可以5年以上，Python经验至少要3年）； 4、至少熟悉Python主流框架Django、Tornado、Flask中的一种； 5、熟练使用mysql，熟悉mysql的各种存储引擎，熟悉索引工作原理； 6、能够接受出差；
天门翰森人力资源咨询有限公司,python,20K-30K,大专,不限,全职,民营,100-499人, 爬虫 1）大专及以上学历； 2）计算机相关专业； 3）2年及以上工作经验； 4）2年以上python开发经验，1年以上restful接口开发经验，熟悉接口设计、开发及单元测试，具备敏捷的反应能力及严谨的逻辑思维能力； 5）1年以上web开发经验，熟悉b/s架构的应用程序开发，能够独立完成网站部署、模块的设计与编码； 5）熟悉python2.7、flask开发框架； 6）了解css、bootstrap、javascript、jquery、html、xml、ajax、web service等技术； 7）熟悉mysql，能够熟练的编写复杂的sql语句，了解数据库性能优化； 8）***熟悉mvc设计模式，对mvc设计理念有较深入的认识； 9）能充分理解项目需求和设计需求，具有一定研发精神及团队协作精神； 10）较强的自学能力，对工作认真负责，能主动承担工作； 11）熟悉shell脚本语言优先，熟悉虚拟化优先，熟悉计算机网络优先；
用审信息科技(上海)有限公司,Python工程师（数据处理）-宝信外协,15K-25K,本科,1-3年,全职,民营,20-99人,"岗位职责：1、负责利用Python做机器学习分析；2、负责项目相关文本数据收集、抽取、整理、分析，并及时提供分析结果；3、根据业务需要开发相关数据分析模型和算法；4、利用深度学习模型对产品所需数据进行抽取、处理；5、负责编写数据建模、数据收集、数据处理与分析相关的后台程序；6、完成上级布置的其他任务；任职要求：1、数学系专业，本科及以上学历，毕业院校为贰11；2、有1年以上Python开发经验，熟悉正则表达式Re,文本处理，文本挖掘;3、熟练使用SQL、数据库、Linux等，对数据库性能优化有一定了解；4、熟悉统计、机器学习工具包或深度学习框架；5、较强的数据分析能力，善于从海量数据中总结规律；6、有高度的责任感，沟通能力，具有较强的学习能力和进取心。"
诺优信息技术(上海)有限公司,Python架构师,10K-20K,本科,1-3年,全职,民营,100-499人,岗位职责：1. 从用户需求出发实现系统规划2. 负责大规模互联网平台架构设计和优化3. 后台服务功能模块的设计与开发4. 维护所负责的服务模块，并不断持续优化功能系统5. 撰写相关研发文档任职要求：1. 计算机相关专业本科及以上学历， 5年以上Python开发经验，2年以上架构设计经验2. 熟悉设计模式，有大数据系统设计经验包括Hadoop生态Kafka Flink ELK 等3. 具备使用Python调用ZMQ进行系统架构设计经验者优先考虑4. 精通web开发框架（djangotornadoflask）， 精通基于Python代码的性能分析和优化5. 熟练掌握 MySQL、Postgresql、Redis 等常见数据库，熟悉Linux平台环境下的开发，Shell编程具备良好沟通能力及团队合作精神，有激情和韧劲，性格开朗。
上海欧锐信息咨询有限公司,Python爬虫实习生,4.5K-6K,大专,无经验,实习,民营,20-99人,职位描述：1、 对各主流网站和电商内容的爬取以及爬虫的维护2、 参与大数据搜索、统计分析系统开发3、各大社交媒体、直播平台网红的动态粉丝数，图片，以及其他信息的抓取4 、负责核心爬虫系统设计、数据库设计与实现 岗位要求：1、有小红书、抖音等社交APP数据抓取，爬虫开发经验者，优先考虑；2、 Python 爬虫经验，扎实的编程功底，良好的编码风格及编码能力 3、熟悉常用的信息抓取策略和数据重组算法 
上海合合信息科技发展有限公司,Python开发工程师,10K-15K,本科,1-3年,全职,合资,100-499人," 岗位职责: 1. 主要负责OCR逻辑需求开发及服务端开发; 2. 参与项目的需求分析，设计和编码; 3. 负责软件相关的模块的编码、测试及维护;  任职要求: 1. 精通Python;  2.熟悉Linux平台环境下的开发,掌握Linux常用命令和Shell编程;  3.熟悉HTTP/HTTPS协议,熟悉Python web开发,熟悉Python高并发框架;  4.熟练使用Mysql等常用互联网数据库组件.  5.具有良好的团队合作精神,良好的代码编写习惯,良好的沟通协调能力,有责任心,学习能力强.  职位诱惑： 1和业界领先的算法团队进行深度合作 2 负责的业务部分有丰富的挑战性和平台，有足够平台成长 3 研究与实际相结合，做解决问题的研究 4 轻松的工作氛围，简单的人际关系，技术优先"
深圳凯泽文化创意有限公司,论文期刊写手/计算机/金融/医学/土木/电气/机械/MATLAB/python,5K-10K,本科,不限,兼职/临时,民营,20-99人,   本公司大量招聘硕博士、专本科论文，期刊职称等写手，薪酬不是问题，就怕你不会写，绝不拖欠稿费。有责任心，做事有始有终的诚信之人欢迎合作。    有意者请加QQ：295357002（昵称：忆年华），添加时请备注：智联+擅长专业    一、任职要求：    1）精通任一领域的专业知识，有较强的写作能力，能独立完成高水平的论文或期刊写作任务；    2）全职或兼职均可，但需要有充足的时间以及手机、微信等联系方式；    3）有责任心，专业素养以及良好的诚信    4）本科以上学历，硕士、博士更佳，个人或工作团队均可。    5）具有丰富的文书写作经验，能驾驭充满理性的文字，也擅长激情的文学语言，能独立完成高水平的论文、期刊、职称等稿件；    二、应聘方式：　      请加QQ：295357002（昵称：忆年华），添加时请备注：智联+擅长专业 
天津集贤社企业管理咨询有限公司,Python研发工程师,30K-50K,本科,3-5年,全职,民营,20-99人,      负责各类运维平台的设计、开发和维护等工作    任职要求：       1、计算机或相关专业本科及以上学历 2、能够熟练使用Python/Go等语言进行开发，有良好的编程习惯 3、有一定的web前端开发能力 4、对技术有热情，愿意持续学习，具备良好的沟通能力，责任心强 5、有运维平台研发经验加分     经理人发展路径职位： 前端工程师 前端开发工程师 资深前端研发专家 直达村淘-Web Java高级开发 JAVA技术专家 Java高级工程师 Java研发专家 Java研发工程师-中台 Java资深研发工程师（广告方向） 数字娱乐-JAVA服务端架构师 c/c++后台工程师 c++高薪诚聘软件工程师 资深系统研发工程师 H5前端高级研发工程师 android架构师 IOS高级开发 iOS开发工程师 高级IOS开发工程师 资深桌面开发工程师 技术保障-windows高级系统工程师 Telephony高级开发工程师 技术保障-Linux高级系统工程师 YUNOS-互联网汽车-GUI设计师 PHP高级软件工程师 CNZZ-资深PHP开发工程师/专家 搜索引擎研发专家 无线测试架构师/专家 无线技术架构师-数据技术及产品 信息平台-高级算法工程师/专家 数据挖掘算法专家 信息平台-安全管理高级专家 钉钉--音视频客户端开发 资深离线搜索算法研发工程师 B2C无线开发工程师 资深无线搜索算法工程师 资深数据分析师 Android底层开发工程师 Android资深开发工程师 资深算法工程师-数据技术及产品 高级测试开发工程师 资深测试开发工程师 信息平台--Windows工程师 资深交互设计师 信息平台—交互设计专家—云PC G1-国际测试研发工程师 国际招聘测试开发工程师通道 测试高级软件工程师 阿里云 - 交互设计专家 资深交互设计师（数据技术及产品） IT支持高级专家 客户端产品研发专家 技术保障-监控工程师-GOC  G1-国际业务php高级工程师 高级产品经理 PHP高级软件工程师 资深视觉设计师 IT高级产品经理/产品专家 WZ项目 位置服务产品经理 技术保障-监控工程师-GOC 资深交互设计师-商家业务-数据业务 系统架构师 资深大数据工程师 资深软件工程师（广告算法方向） 阿里云高级测试开发工程师     算法专家 网络测试专家-系统运营 售后技术支持工程师 资深设计专家 软件工程师 Nodejs技术专家 G1-资深数据挖掘算法工程师 YunOS-交互设计师-UED 资深开发工程师-电子面单 高级技术支持-系统保障 技术保障-IPv6网络架构师-系统运营 技术保障-无线解决方案架构师-云服务 技术保障-光网络架构师-系统运营 资深算法工程师-广告业务 数据挖掘/机器学习工程师 移动云推送后台开发工程师 行业解决方案专家/架构师 资深开发工程师 技术保障-大数据运营总监-平台服务 高级数据研发工程师 开放集成技术专家 技术保障-运维开发工程师-数据库技术 阿里音乐-高级数据分析专家 资深数据研发工程师 售后技术保障工程师/专家 ODPS系统工程师 计算安全 无线资深用户体验研究员 资深测试开发工程师 技术保障-大数据运营总监-平台服务 数据库开发工程师可靠协调系统开发工程师 网销宝-算法专家 移动云推送后台开发工程师 技术保障-CDN平台运维工程师 音频算法技术专家 高级数据产品专家-数据技术及产品
深圳智控创新科技有限公司,Python开发工程师,6K-8K,大专,不限,全职,民营,100-499人,岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；福利待遇：1、【薪资】转正6-1W，一年后年薪10-15万。2、【保险】五险一金3、【涨薪与发展】年底2-6月奖金，并两个月调一次薪。4、【其他福利】定期体检，月度聚餐，节日旅游，生日奖5、【工作时间】五天工作制，早9点-晚18：00，周末双休
上海律桐智能信息科技有限公司,数据专员实习生-熟练SQL python,1.5K-3K,本科,无经验,校园,民营,20-99人,1. 本科及以上学历，本科为计算机科学、软件工程相关专业。熟练运用SQL python。2. 在校生，本科或研究生在读，实习考核合格毕业可留用转正。3. 好学、谦虚，对新事物有一定的研究和钻研能力。4.工作认真、细致，具备抗压能力和敬业精神，性格随和，与公司团队成员能和谐相处。5.岗位特色：以培养留用人才为目的，给予实习生充分的实践操作机会，培养机会。有意者可发送简历及近期生活照至邮箱： dan.wang@lvtongai.com（王***）或通过本平台申请。标题请注明“应聘实习生+姓名+学校名称+毕业年月”
深圳市德科信息技术有限公司上海分公司,Python开发工程师,10K-15K,大专,3-5年,全职,合资,1000-9999人, Python开发中级 ： 1、负责产品功能模块设计与实现，具有独立完成能力。 2、负责数据库优化，产品功能的改进。1、熟悉python和python web框架； 至少使用过Django，Flask，Tornado 框架其中一个。 2、熟悉 MYSQL 或PostgreSQL 。 3、有良好的逻辑思维能力，拥有良好的代码书写习惯。 4、同时掌握其他开发语言优先（Java / Node／Go／前端JS） 5、Github社区活跃 、热爱研究新技术者优先。
上海国时智能科技有限公司,Python金融算法工程师（基金研究方向）,10K-15K,本科,3-5年,全职,民营,20-99人, 岗位职责: 1、  使用Python完成数据获取、数据计算、分析逻辑实现等开发任务； 2、  根据需求或业务逻辑，使用Python Numpy、Pandas、Scipy等相关数据分析工具，完成数据分析算法或模型的编写、调试、问题排查，性能优化等工作； 3、  撰写算法文档，协助开发部门实现算法和结果校验； 4、其他相关工作。  任职资格: 1、金融工程、数学、统计、计算机或物理等相关专业本科及以上学历，具有2年以上Python数据分析或开发经验； 2、精通Python编程，熟练掌握Numpy、Pandas、Scipy等框架，具备较强的编码能力、良好的编码规范，注重代码执行效率； 3、熟悉SQL语法，能够熟练使用MySQL、SQLServer等数据库； 4、熟悉金融投资、金融工程、私募行业者、量化投资者优先； 5、具备出色的沟通理解能力、团队合作能力、快速学习能力、执行力，并能承受较大的工作压力。
内蒙古君正互联网小额贷款有限公司,Python开发工程师,8K-15K,本科,1-3年,全职,民营,不限," 1、有好奇心，强烈的学习能力和适应能力，有较好的数据结构和算法的基础知识； 2、二年及以上实际开发经验（rest服务，api接口开发）； 3、精通python语言，至少了解一种framework（tornado,flask,Django等）； 4、熟悉PostgreSQL/Redshift/Mysql等常用数据库； 5、有异步处理，高并发等开发经验， 6、了解Pandas,numpy等数据处理包； 7、具有团队协作工作经验，能熟练使用svn,git等分布式代码控制管理仓库工具； 8、全日制本科及以上学历"
上海彼得家餐饮管理有限公司正大广场一店,python/php/golang 开发工程师,30K-50K,本科,5-10年,全职,外商独资,20人以下,"“There is no love sincerer than the love of food.” - George Bernard Shaw Do you love food and convenience put together? Then you will definitely love foodpanda! foodpanda (small ‘f’) is the world’s favourite way to order food online from the comfort of your home or office. Whether it’s getting your hands on your favourite pasta, kebab or pizza, we believe that no one should have to suffer from hunger attacks ever again. However, this doesn’t happen without some really awesome people. We are looking for a Backend Software Engineer, to support our growing regional Engineering team that is based in Singapore. You will be part of an international team of highly talented and motivated people. As Backend Software Engineer, we're looking for a talented Backend Software Engineer to join our highly skilled software development team based in Singapore, working collaboratively with the wider projects department to solve real-life problems for our restaurant partners and contact centre. We are developing a new Menu management product which plugs in with our existing restaurant portal which is based on plug-in architecture. You will be responsible for front end development of the menu management portal Skills ? Build backend applications using the latest technologies in AWS or GCP ? Experience building systems using relational and non-relational databases such as PostgreSQL, DynamoDB or similar ? Preferred experience with Node.js (ES6+), Python, PHP! A brief experience with Golang will also be relevant ? Experience with microservice architecture and/or event-driven architecture ? Experience working with cloud services like AWS or GCP ? Experience in micro-services required ? Participate in technical design and planning sessions ? Implement new features for the company's platform/applications ? Perform code reviews, bug fixes, etc ? Knowledge of using Docker and Kubernetes is preferred butexperience with Serverless is also relevant ? Experience in Test Driven Development (TDD) ? Flexible and open-minded personality ? Excited to learn & try out new things ? You firmly believe in lean and agile development (Scrum, Kanban) ? Familiarity with source control using Git ? A “can-do” attitude towards change and ambiguity Required Experience ? At least 5 years of experience in front end development in e-commerce or hyperlocal industry ? Relevant engineering degree from a reputed university ? What We Offer ? A dynamic and challenging working environment ? An extra steep learning curve ? Responsibility from day one in a fast growing and global company ? A vibrant and international team with a diverse background ? Regular company and team events"
上海潇如文化传播有限公司,Python开发,7K-12K,本科,1-3年,全职,民营,20-99人,  技能要求：python h5  岗位职责：  1、负责app商家和运营后台功能开发；  2、参与应用设计与方案讨论；  3、建立和完善开发文档；  4. 发现和解决开发中存在的技术问题，解决关键的技术难题；  5、协助对所开发的功能进行测试，协助产品部署。  任职要求：  1、本科及以上学历，计算机/软件工程/信息管理/计算机应用等理工专业；  2、两年以上Python开发经验；  3、熟练掌握Django或者其他Python Web开发框架，熟悉HTML、JS、CSS、jQuery等Web开发者优先；  4.熟练使用git版本管理工具；  5、具备良好的编码习惯及开发文档书写习惯；  6、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力。
上海冷水河信息科技有限公司,python开发工程师,8K-15K,本科,不限,全职,民营,20人以下,    1. 至少一年及以上Python开发经验，有良好的编程能力.    2. 一定的SQL基础，熟悉主流Mysql，SQL Server等数据库.      3. 熟悉正则表达式网页解析语言.   4. 具有良好沟通能力、学习能力和团队协作能力，责任心强，积极主动，工作细致认真，有耐心。 6.  实习生岗位开放，欢迎计算机或相关专业的全日制在校同学申请. 7. 有开源github项目、个人博客或StackOverflow较高积分者加分.  具有竞争力的报酬 + 极具前景的发展 参与即将迎来爆炸行业的工作，为不久的未来积攒超越同龄人的能力和经验，实现弯道超车和引领！亲身体验面向C端的人工智能创业公司产品从0到1投放市场的全生命周期，获得第一手经验跟CEO每天面对面交流学习，了解创业公司的方方面面跟杰出的人同行做引领行业进步的大事业 
上海百趣生物医学科技有限公司,高级Python开发工程师,15K-30K,本科,3-5年,全职,民营,100-499人,岗位职责：1.根据市场需求设计完善产品，完成项目开发迭代，主动实现性能优化和提升用户体验；2.与生物信息工程师及前端工程师配合，编译R语言代码，负责后端C++，python代码的编写，实现软件功能；3.能不断完善和优化后端技术开发规范和流程；任职要求：1.全日制统招本科及以上计算机相关专业学历，有过3年以上python软件开发经验；2. 熟练掌握Django，Sqlalchemy，Celery等主流框架，深入理解框架实现原理及特性；3.熟悉Python的高级特性，深入理解各种设计模式和应用场景；4.熟练掌握MySQL数据库，具备MySQL索引优化，查询优化能力；5.熟悉分布式系统，熟悉掌握一种以上服务框架和消息中间件，了解其实现原理；6.熟悉并掌握其他一门或多门语言（C++，Go）者优先7.热爱技术开发工作，善于沟通与团队协作，具备良好的服务意识、责任心、较强的学习能力、能承受一定的工作压力。
上海联影智能医疗科技有限公司,Python开发(J10784),15K-20K,本科,不限,全职,民营,100-499人," 岗位职责: 职位职责： 1.负责研发基于深度学习的医学图像科研平台的设计，开发和优化等工作； 2.负责重构和优化系统组件，解决高性能、高可靠性问题。 任职要求: 任职要求： 1、五年以上开发经验，三年以上的Python开发经验，熟练使用python常用库； 2、掌握Django, Tornado, Flask等一种主流框架，深入理解框架实现原理及特性； 3、熟悉Python的高级特性，具备良好的编码习惯，深入理解各种设计模式和应用场景； 4、理解多线程、socket相关技术，有大规模分布式系统的开发和高可用相关的实践经验； 5、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范； 6、掌握至少一种关系型数据库，了解Docker运维知识； 7、了解DICOM，有医学图像处理经验的优先考虑；"
上海近屿智能科技有限公司,Python开发工程师,13K-26K,本科,3-5年,全职,股份制企业,20-99人,"  岗位职责：  1.完成相应功能的开发(80%)；  2.能够独立写爬虫，完成数据抓取，并进行解析（20%）；  任职要求:  1.统招全日制本科及以上学历（学信网可查）,|3年以上开发经验；  2.熟练掌握python基本数据结构,熟悉python语言特  性;熟练使用python常用库以及各种第三方库解决问  题;熟悉pandas,numpy,Sqlalchemy等框架更佳;  3.熟悉Restful规范,了解HTTP,TCP/IP等常用internet协议;  4.熟练掌握mysql数据库以及基本的sql语句;  5.熟悉linux开发环境,熟练使用linux操作系统和脚本。"
上海戎磐网络科技有限公司,Python开发工程师,8K-12K,本科,1-3年,全职,民营,20-99人," 职位描述: 1.主导业务平台节点和控制中心的设计、开发与优化工作； 2.完成产品的集群化部署方案； 3.参与Python开发团队，同时与各部门团队成员协同工作，共同完成迭代开发任务，确保产品的顺利上线。  任职要求： 1.本科及以上学历，计算机、软件工程、信息管理、计算机应用等理工专业； 2.2-3年以上Python开发经验； 3.有完整WEB项目开发经验者优先； 4.熟悉 postgresql, elasticsearch，linux，nginx，redis 等技术生态，熟悉数据库知识； 5.熟悉 flask/Django/Tornado 等常见 Python Web 框架之一， 注意代码质量和可维护性； 6.熟悉常见设计模式，熟悉常用的数据结构和算法，具有扎实的服务器端开发功底； 7.熟悉Linux操作系统，熟悉Apache/Tomcat/Ngnix等Web Server的部署和应用； 8.具备良好的编码习惯及开发文档书写习惯； 9.具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力。"
大卓(上海)网络科技有限公司,python高级工程师,15K-30K,本科,1-3年,全职,民营,20人以下,岗位职责：1、独立完成某项任务。 2、对前后端都比较熟悉，熟练掌握各种工具。 任职要求：  1、大学本科以上学历，计算机或相关专业可无工作经验；非计算机相关专业须有工作经验，能证明开发能力。  2、有扎实的Python基础知识，有多线程、并发以及网络通信方面的开发经验，可编写网页前端所需的PHP、HTML等脚本语言；  3、熟悉mysql数据库；   4、我们的团队是初创团队，团队成员来自国内外知 名 高 校，在计算机、金融、量化领域都有很多经验，如果想要加入真正有激情能干事的团队欢迎联系我们！
大卓(上海)网络科技有限公司,Python开发工程师,10K-15K,本科,不限,全职,民营,20人以下,岗位职责：1、按照任务计划完成接口开发、调试。  2、Mysql数据库管理、维护。  3、前端网页维护。 任职要求：  1、大学本科以上学历，计算机或相关专业可无工作经验；非计算机相关专业须有工作经验，能证明开发能力。  2、有扎实的Python基础知识，有多线程、并发以及网络通信方面的开发经验，可编写网页前端所需的PHP、HTML等脚本语言；  3、熟悉mysql数据库；    4、我们的团队是初创团队，团队成员来自国内外知 名 高 校，在计算机、金融、量化领域都有很多经验，如果想要加入真正有激情能干事的团队欢迎联系我们！
圆通速递有限公司,NLP自然语言处理工程师,15K-25K,硕士,3-5年,全职,上市公司,10000人以上,工作职责?1、负责自然语言处理技术的研发。应用领域主要是语意理解、对话和知识图谱的创新应用?2、构建知识图谱，研究和开发基于知识图谱的交互、推理等各种算法及解决方案?3、参与或负责智能客服机器人场景，利用NLP和知识图谱技术建立模型，并持续提升对话机器人在业务场景中的回答覆盖率和准确率?4、参与或负责信息抽取场景，采集公开文本数据，利用语义分析、知识图谱、信息抽取等技术将公开文本数据转化为知识图谱情报信息??任职要求?1、具有自然语言处理、数学、应用数学、计算机科学、机器学习、人工智能等相关专相关专业硕士及以上学历?2、有自然语言处理经验包括但不限于：问答系统、聊天机器人、知识图谱、长文本语义理解（Reading Comprehension systems）、实体识别、自动翻译、主题检测（Topic Model）、文本生成等3、精通一种以上深度学习开源框架，如TensorFlow、PyTorch、MXnet、Keras等，能灵活地运用框架解决问题?4、扎实的工程实现能力，Python等编程能力较强，能把自己的想法用代码实现?5、两年以上机器学习、深度学习NLP模型设计和实现经验?6、学习能力强，对新技术有强烈求知欲和探索能力
圆通速递有限公司,深度学习算法工程师,15K-25K,硕士,3-5年,全职,上市公司,10000人以上,职位描述：1、从事文本挖掘、自然语言理解、自然语言生成、OCR、计算机视觉、图像处理、机器学习与模式识别等人工智能相关的算法设计和研发工作2、参与OCR、自动摘要、写作机器人、报告生成、信息抽取、事件抽取、知识图谱等相关产品的研发，优化和升级工作3、参与人工智能相关的业务系统设计、开发、集成等工作4、优化已有算法和系统或者为解决实际问题而进行算法研究5、跟进人工智能的前沿进展，将其工程化应用到公司相关产品和系统上，实现效果、性能等各方面的优化?职位要求：1、计算机、数学、统计学等相关理工科专业，硕士及以上学历2、有机器学习、深度学习、人工智能等方面的工作经验3、熟悉常用的编程语言（如Python、C/C++、Java等），有扎实的编程能力4、熟悉常用数据结构，算法，具有良好的编程风格5、有caffe、tensorflow和/或pytorch的开发经验者优先6、有NLP、NLU、NLG、OCR、CV、计算机图形学、图像处理等方面的工作经验者优先7、参加过数学、计算机等方面的竞赛并获奖者优先8、思路清晰，主动性强，有很强的自我驱动力
圆通速递有限公司,系统集成工程师,8K-15K,本科,不限,全职,上市公司,10000人以上,岗位职责：1、负责各系统、服务器与支撑系统的建设、运维和监控，保证各业务系统正常运营2、熟练掌握应用中间件安装配置调优，WebSphere、JBoss、Tomcat3、熟练掌握Nginx、Apache、IHS，安装配置调优4、掌握自动化系统集成工具，Hudson、Jenkins5、熟悉主流操作系统命令，linux、windows6、熟悉脚本语言，shell、python、lua7、熟悉各种监控工具，Nagios、Zabbix8、了解Java系统开发?9、了解主流数据库，sqlserver、oracle和MySQL10、负责开发、完善运维内部系统及辅助系统，提升运维质量及效率?职位要求：1、计算机/信息通信专业相关专业，本科及以上；2、具备良好的学习能力、沟通能力和团队协作能力；3、能够吃苦耐劳，具备独立解决问题的能力；4、良好的人际交往和沟通能力，具备独立负责组织、实施集成项目的能力。
圆通速递有限公司,大数据开发工程师,15K-25K,本科,3-5年,全职,上市公司,10000人以上,"岗位职责 1、负责大数据平台的功能组件开发，不同数据管道的搭建等 2、设计稳定、可复用、可扩展的数据仓库模型，用户画像数据模型，快速支持公司决策数据需要、各方向数据分析和挖掘需要3、治理整合多方、异构数据，合理实现数据中台的数据分层、组织管理等 4、对接AI团队，对数据挖掘、机器学习模型的部署维护和跟踪调优 ?任职要求 1、熟悉HDFS,HIVE,YARN,SPARK,HBASE,KAFKA,IMPALA,ZOOKEEPER,ES,KYLIN等其中组件的使用和原理，具备一定的架构能力 2、扎实的编程功底，精通Python/Scala/Java其中一种语言 3、熟悉Linux系统以及shell或perl等脚本语言的开发 4、熟悉数仓维度建模、OLAP，熟悉主流数据库（Oracle、Postgresql)的ETL、SQL开发，性能调优等 5、具备较强的逻辑思维能力、文档编写整合能力 6、有数据挖掘、机器学习类项目，如用户画像、大数据精准营销等落地经验的优先 7、金融相关项目经验 8、3年以上大数据平台开发经验，5年以上数据开发相关经验 9、全日制本科及以上学历，计算机相关专业 10、良好的沟通能力、团队合作精神,优秀的学习能力、分析问题和解决问题的能力"
